#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0012              0.3750              0.0000              0.0550            113.1283
              0.0012              0.4000              0.0000              0.0550            109.0403
              0.0012              0.4250              0.0000              0.0550            107.9718
              0.0012              0.4500              0.0000              0.0550            108.6434
              0.0012              0.4750              0.0000              0.0550            110.0004
              0.0012              0.5000              0.0000              0.0550            111.2788
              0.0012              0.5250              0.0000              0.0550            112.0538
              0.0012              0.5500              0.0000              0.0550            112.2650
              0.0012              0.5750              0.0000              0.0550            112.2150
              0.0012              0.6000              0.0000              0.0550            112.5436
              0.0012              0.6250              0.0000              0.0550            114.1785
              0.0012              0.6500              0.0000              0.0550            118.2689
              0.0012              0.6750              0.0000              0.0550            126.1108
              0.0012              0.7000              0.0000              0.0550            139.0662
              0.0012              0.7250              0.0000              0.0550            158.4895
              0.0012              0.7500              0.0000              0.0550            185.6482
              0.0012              0.7750              0.0000              0.0550            221.6982
              0.0012              0.3000              0.0000              0.0600            161.6093
              0.0012              0.3250              0.0000              0.0600            139.4462
              0.0012              0.3500              0.0000              0.0600            124.7152
              0.0012              0.3750              0.0000              0.0600            115.9406
              0.0012              0.4000              0.0000              0.0600            111.6337
              0.0012              0.4250              0.0000              0.0600            110.3691
              0.0012              0.4500              0.0000              0.0600            110.8667
              0.0012              0.4750              0.0000              0.0600            112.0685
              0.0012              0.5000              0.0000              0.0600            113.2049
              0.0012              0.5250              0.0000              0.0600            113.8428
              0.0012              0.5500              0.0000              0.0600            113.9113
              0.0012              0.5750              0.0000              0.0600            113.7011
              0.0012              0.6000              0.0000              0.0600            113.8386
              0.0012              0.6250              0.0000              0.0600            115.2378
              0.0012              0.6500              0.0000              0.0600            119.0350
              0.0012              0.6750              0.0000              0.0600            126.5140
              0.0012              0.7000              0.0000              0.0600            139.0269
              0.0012              0.7250              0.0000              0.0600            157.9168
              0.0012              0.7500              0.0000              0.0600            184.4561
              0.0012              0.7750              0.0000              0.0600            219.7884
              0.0012              0.3000              0.0000              0.0650            165.2136
              0.0012              0.3250              0.0000              0.0650            142.7740
              0.0012              0.3500              0.0000              0.0650            127.7815
              0.0012              0.3750              0.0000              0.0650            118.7639
              0.0012              0.4000              0.0000              0.0650            114.2348
              0.0012              0.4250              0.0000              0.0650            112.7703
              0.0012              0.4500              0.0000              0.0650            113.0894
              0.0012              0.4750              0.0000              0.0650            114.1315
              0.0012              0.5000              0.0000              0.0650            115.1218
              0.0012              0.5250              0.0000              0.0650            115.6199
              0.0012              0.5500              0.0000              0.0650            115.5452
              0.0012              0.5750              0.0000              0.0650            115.1769
              0.0012              0.6000              0.0000              0.0650            115.1289
              0.0012              0.6250              0.0000              0.0650            116.3022
              0.0012              0.6500              0.0000              0.0650            119.8203
              0.0012              0.6750              0.0000              0.0650            126.9556
              0.0012              0.7000              0.0000              0.0650            139.0499
              0.0012              0.7250              0.0000              0.0650            157.4388
              0.0012              0.7500              0.0000              0.0650            183.3893
              0.0012              0.7750              0.0000              0.0650            218.0424
              0.0012              0.3000              0.0000              0.0700            168.8316
              0.0012              0.3250              0.0000              0.0700            146.1156
              0.0012              0.3500              0.0000              0.0700            130.8606
              0.0012              0.3750              0.0000              0.0700            121.5989
              0.0012              0.4000              0.0000              0.0700            116.8461
              0.0012              0.4250              0.0000              0.0700            115.1796
              0.0012              0.4500              0.0000              0.0700            115.3182
              0.0012              0.4750              0.0000              0.0700            116.1988
              0.0012              0.5000              0.0000              0.0700            117.0419
              0.0012              0.5250              0.0000              0.0700            117.4001
              0.0012              0.5500              0.0000              0.0700            117.1836
              0.0012              0.5750              0.0000              0.0700            116.6609
              0.0012              0.6000              0.0000              0.0700            116.4336
              0.0012              0.6250              0.0000              0.0700            117.3902
              0.0012              0.6500              0.0000              0.0700            120.6419
              0.0012              0.6750              0.0000              0.0700            127.4495
              0.0012              0.7000              0.0000              0.0700            139.1450
              0.0012              0.7250              0.0000              0.0700            157.0562
              0.0012              0.7500              0.0000              0.0700            182.4490
              0.0012              0.7750              0.0000              0.0700            216.4486
              0.0012              0.3000              0.0000              0.0750            172.4634
              0.0012              0.3250              0.0000              0.0750            149.4699
              0.0012              0.3500              0.0000              0.0750            133.9522
              0.0012              0.3750              0.0000              0.0750            124.4457
              0.0012              0.4000              0.0000              0.0750            119.4687
              0.0012              0.4250              0.0000              0.0750            117.5999
              0.0012              0.4500              0.0000              0.0750            117.5578
              0.0012              0.4750              0.0000              0.0750            118.2770
              0.0012              0.5000              0.0000              0.0750            118.9737
              0.0012              0.5250              0.0000              0.0750            119.1937
              0.0012              0.5500              0.0000              0.0750            118.8384
              0.0012              0.5750              0.0000              0.0750            118.1657
              0.0012              0.6000              0.0000              0.0750            117.7655
              0.0012              0.6250              0.0000              0.0750            118.5139
              0.0012              0.6500              0.0000              0.0750            121.5099
              0.0012              0.6750              0.0000              0.0750            128.0030
              0.0012              0.7000              0.0000              0.0750            139.3154
              0.0012              0.7250              0.0000              0.0750            156.7670
              0.0012              0.7500              0.0000              0.0750            181.6182
              0.0012              0.7750              0.0000              0.0750            214.9912
              0.0013              0.3000              0.0000              0.0000            103.2693
              0.0013              0.3250              0.0000              0.0000             83.5645
              0.0013              0.3500              0.0000              0.0000             70.6620
              0.0013              0.3750              0.0000              0.0000             63.0843
              0.0013              0.4000              0.0000              0.0000             59.3612
              0.0013              0.4250              0.0000              0.0000             58.1482
              0.0013              0.4500              0.0000              0.0000             58.3035
              0.0013              0.4750              0.0000              0.0000             58.9692
              0.0013              0.5000              0.0000              0.0000             59.6346
              0.0013              0.5250              0.0000              0.0000             60.1752
              0.0013              0.5500              0.0000              0.0000             60.8648
              0.0013              0.5750              0.0000              0.0000             62.3562
              0.0013              0.6000              0.0000              0.0000             65.6353
              0.0013              0.6250              0.0000              0.0000             71.9533
              0.0013              0.6500              0.0000              0.0000             82.7421
              0.0013              0.6750              0.0000              0.0000             99.5248
              0.0013              0.7000              0.0000              0.0000            123.8266
              0.0013              0.7250              0.0000              0.0000            157.0958
              0.0013              0.7500              0.0000              0.0000            200.6291
              0.0013              0.7750              0.0000              0.0000            255.5267
              0.0013              0.3000              0.0000              0.0050            107.0591
              0.0013              0.3250              0.0000              0.0050             86.9779
              0.0013              0.3500              0.0000              0.0050             73.8765
              0.0013              0.3750              0.0000              0.0050             66.2627
              0.0013              0.4000              0.0000              0.0050             62.6644
              0.0013              0.4250              0.0000              0.0050             61.7149
              0.0013              0.4500              0.0000              0.0050             62.2365
              0.0013              0.4750              0.0000              0.0050             63.3198
              0.0013              0.5000              0.0000              0.0050             64.3904
              0.0013              0.5250              0.0000              0.0050             65.2489
              0.0013              0.5500              0.0000              0.0050             66.0867
              0.0013              0.5750              0.0000              0.0050             67.4716
              0.0013              0.6000              0.0000              0.0050             70.3071
              0.0013              0.6250              0.0000              0.0050             75.7683
              0.0013              0.6500              0.0000              0.0050             85.2231
              0.0013              0.6750              0.0000              0.0050            100.1444
              0.0013              0.7000              0.0000              0.0050            122.0228
              0.0013              0.7250              0.0000              0.0050            152.2892
              0.0013              0.7500              0.0000              0.0050            192.2388
              0.0013              0.7750              0.0000              0.0050            242.9844
              0.0013              0.3000              0.0000              0.0100            110.5114
              0.0013              0.3250              0.0000              0.0100             90.0534
              0.0013              0.3500              0.0000              0.0100             76.7058
              0.0013              0.3750              0.0000              0.0100             68.9770
              0.0013              0.4000              0.0000              0.0100             65.3937
              0.0013              0.4250              0.0000              0.0100             64.5748
              0.0013              0.4500              0.0000              0.0100             65.3186
              0.0013              0.4750              0.0000              0.0100             66.6821
              0.0013              0.5000              0.0000              0.0100             68.0468
              0.0013              0.5250              0.0000              0.0100             69.1614
              0.0013              0.5500              0.0000              0.0100             70.1593
              0.0013              0.5750              0.0000              0.0100             71.5487
              0.0013              0.6000              0.0000              0.0100             74.1740
              0.0013              0.6250              0.0000              0.0100             79.1563
              0.0013              0.6500              0.0000              0.0100             87.8163
              0.0013              0.6750              0.0000              0.0100            101.5903
              0.0013              0.7000              0.0000              0.0100            121.9435
              0.0013              0.7250              0.0000              0.0100            150.2932
