#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0013              0.3000              0.0000              0.0000            112.9755
              0.0013              0.3250              0.0000              0.0000             93.5879
              0.0013              0.3500              0.0000              0.0000             80.9763
              0.0013              0.3750              0.0000              0.0000             73.6576
              0.0013              0.4000              0.0000              0.0000             70.1564
              0.0013              0.4250              0.0000              0.0000             69.1232
              0.0013              0.4500              0.0000              0.0000             69.4115
              0.0013              0.4750              0.0000              0.0000             70.1597
              0.0013              0.5000              0.0000              0.0000             70.8548
              0.0013              0.5250              0.0000              0.0000             71.3712
              0.0013              0.5500              0.0000              0.0000             71.9836
              0.0013              0.5750              0.0000              0.0000             73.3467
              0.0013              0.6000              0.0000              0.0000             76.4499
              0.0013              0.6250              0.0000              0.0000             82.5489
              0.0013              0.6500              0.0000              0.0000             93.0806
              0.0013              0.6750              0.0000              0.0000            109.5735
              0.0013              0.7000              0.0000              0.0000            133.5579
              0.0013              0.7250              0.0000              0.0000            166.4876
              0.0013              0.7500              0.0000              0.0000            209.6638
              0.0013              0.7750              0.0000              0.0000            264.1912
              0.0013              0.3000              0.0000              0.0050            123.8591
              0.0013              0.3250              0.0000              0.0050            102.1914
              0.0013              0.3500              0.0000              0.0050             87.7308
              0.0013              0.3750              0.0000              0.0050             79.0221
              0.0013              0.4000              0.0000              0.0050             74.6156
              0.0013              0.4250              0.0000              0.0050             73.1392
              0.0013              0.4500              0.0000              0.0050             73.3854
              0.0013              0.4750              0.0000              0.0050             74.3905
              0.0013              0.5000              0.0000              0.0050             75.5032
              0.0013              0.5250              0.0000              0.0050             76.4299
              0.0013              0.5500              0.0000              0.0050             77.2573
              0.0013              0.5750              0.0000              0.0050             78.4457
              0.0013              0.6000              0.0000              0.0050             80.7959
              0.0013              0.6250              0.0000              0.0050             85.3927
              0.0013              0.6500              0.0000              0.0050             93.5309
              0.0013              0.6750              0.0000              0.0050            106.6330
              0.0013              0.7000              0.0000              0.0050            126.1631
              0.0013              0.7250              0.0000              0.0050            153.5472
              0.0013              0.7500              0.0000              0.0050            190.1065
              0.0013              0.7750              0.0000              0.0050            236.9885
              0.0013              0.3000              0.0000              0.0100            132.0008
              0.0013              0.3250              0.0000              0.0100            108.8002
              0.0013              0.3500              0.0000              0.0100             93.1145
              0.0013              0.3750              0.0000              0.0100             83.5199
              0.0013              0.4000              0.0000              0.0100             78.5739
              0.0013              0.4250              0.0000              0.0100             76.8912
              0.0013              0.4500              0.0000              0.0100             77.2265
              0.0013              0.4750              0.0000              0.0100             78.5554
              0.0013              0.5000              0.0000              0.0100             80.1417
              0.0013              0.5250              0.0000              0.0100             81.5884
              0.0013              0.5500              0.0000              0.0100             82.8648
              0.0013              0.5750              0.0000              0.0100             84.3076
              0.0013              0.6000              0.0000              0.0100             86.5956
              0.0013              0.6250              0.0000              0.0100             90.7007
              0.0013              0.6500              0.0000              0.0100             97.8206
              0.0013              0.6750              0.0000              0.0100            109.3019
              0.0013              0.7000              0.0000              0.0100            126.5573
              0.0013              0.7250              0.0000              0.0100            150.9873
              0.0013              0.7500              0.0000              0.0100            183.9126
              0.0013              0.7750              0.0000              0.0100            226.5042
              0.0013              0.3000              0.0000              0.0150            139.4387
              0.0013              0.3250              0.0000              0.0150            114.9947
              0.0013              0.3500              0.0000              0.0150             98.2987
              0.0013              0.3750              0.0000              0.0150             87.9495
              0.0013              0.4000              0.0000              0.0150             82.5111
              0.0013              0.4250              0.0000              0.0150             80.5908
              0.0013              0.4500              0.0000              0.0150             80.9201
              0.0013              0.4750              0.0000              0.0150             82.4335
              0.0013              0.5000              0.0000              0.0150             84.3369
              0.0013              0.5250              0.0000              0.0150             86.1612
              0.0013              0.5500              0.0000              0.0150             87.7930
              0.0013              0.5750              0.0000              0.0150             89.4807
              0.0013              0.6000              0.0000              0.0150             91.8144
              0.0013              0.6250              0.0000              0.0150             95.6830
              0.0013              0.6500              0.0000              0.0150            102.2120
              0.0013              0.6750              0.0000              0.0150            112.6895
              0.0013              0.7000              0.0000              0.0150            128.4871
              0.0013              0.7250              0.0000              0.0150            150.9827
              0.0013              0.7500              0.0000              0.0150            181.4923
              0.0013              0.7750              0.0000              0.0150            221.1996
              0.0013              0.3000              0.0000              0.0200            146.4648
              0.0013              0.3250              0.0000              0.0200            120.9650
              0.0013              0.3500              0.0000              0.0200            103.3930
              0.0013              0.3750              0.0000              0.0200             92.3596
              0.0013              0.4000              0.0000              0.0200             86.4366
              0.0013              0.4250              0.0000              0.0200             84.2281
              0.0013              0.4500              0.0000              0.0200             84.4506
              0.0013              0.4750              0.0000              0.0200             86.0095
              0.0013              0.5000              0.0000              0.0200             88.0694
              0.0013              0.5250              0.0000              0.0200             90.1079
              0.0013              0.5500              0.0000              0.0200             91.9502
              0.0013              0.5750              0.0000              0.0200             93.7782
              0.0013              0.6000              0.0000              0.0200             96.1149
              0.0013              0.6250              0.0000              0.0200             99.7855
              0.0013              0.6500              0.0000              0.0200            105.8589
              0.0013              0.6750              0.0000              0.0200            115.5776
              0.0013              0.7000              0.0000              0.0200            130.2798
              0.0013              0.7250              0.0000              0.0200            151.3239
              0.0013              0.7500              0.0000              0.0200            180.0201
              0.0013              0.7750              0.0000              0.0200            217.5600
              0.0013              0.3000              0.0000              0.0250            153.2097
              0.0013              0.3250              0.0000              0.0250            126.7940
              0.0013              0.3500              0.0000              0.0250            108.4368
              0.0013              0.3750              0.0000              0.0250             96.7660
              0.0013              0.4000              0.0000              0.0250             90.3605
              0.0013              0.4250              0.0000              0.0250             87.8246
              0.0013              0.4500              0.0000              0.0250             87.8642
              0.0013              0.4750              0.0000              0.0250             89.3639
              0.0013              0.5000              0.0000              0.0250             91.4566
              0.0013              0.5250              0.0000              0.0250             93.5796
              0.0013              0.5500              0.0000              0.0250             95.5100
              0.0013              0.5750              0.0000              0.0250             97.3774
              0.0013              0.6000              0.0000              0.0250             99.6516
              0.0013              0.6250              0.0000              0.0250            103.1067
              0.0013              0.6500              0.0000              0.0250            108.7663
              0.0013              0.6750              0.0000              0.0250            117.8350
              0.0013              0.7000              0.0000              0.0250            131.6237
              0.0013              0.7250              0.0000              0.0250            151.4738
              0.0013              0.7500              0.0000              0.0250            178.6866
              0.0013              0.7750              0.0000              0.0250            214.4682
              0.0013              0.3000              0.0000              0.0300            159.7565
              0.0013              0.3250              0.0000              0.0300            132.5220
              0.0013              0.3500              0.0000              0.0300            113.4478
              0.0013              0.3750              0.0000              0.0300            101.1749
              0.0013              0.4000              0.0000              0.0300             94.2905
              0.0013              0.4250              0.0000              0.0300             91.3999
