#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0021              0.4875              0.0000              0.0220              8.2868
              0.0021              0.5000              0.0000              0.0220              8.6704
              0.0021              0.5125              0.0000              0.0220              9.1549
              0.0021              0.5250              0.0000              0.0220              9.7140
              0.0021              0.5375              0.0000              0.0220             10.3433
              0.0021              0.5500              0.0000              0.0220             11.0608
              0.0021              0.5625              0.0000              0.0220             11.9058
              0.0021              0.5750              0.0000              0.0220             12.9389
              0.0021              0.5875              0.0000              0.0220             14.2401
              0.0021              0.6000              0.0000              0.0220             15.9081
              0.0021              0.6125              0.0000              0.0220             18.0577
              0.0021              0.6250              0.0000              0.0220             20.8187
              0.0021              0.6375              0.0000              0.0220             24.3329
              0.0021              0.6500              0.0000              0.0220             28.7524
              0.0021              0.6625              0.0000              0.0220             34.2366
              0.0021              0.6750              0.0000              0.0220             40.9503
              0.0021              0.6875              0.0000              0.0220             49.0609
              0.0021              0.7000              0.0000              0.0220             58.7363
              0.0021              0.7125              0.0000              0.0220             70.1423
              0.0021              0.7250              0.0000              0.0220             83.4408
              0.0022              0.3000              0.0000              0.0220             85.5810
              0.0022              0.3125              0.0000              0.0220             70.1995
              0.0022              0.3250              0.0000              0.0220             56.9993
              0.0022              0.3375              0.0000              0.0220             45.8168
              0.0022              0.3500              0.0000              0.0220             36.4820
              0.0022              0.3625              0.0000              0.0220             28.8208
              0.0022              0.3750              0.0000              0.0220             22.6562
              0.0022              0.3875              0.0000              0.0220             17.8125
              0.0022              0.4000              0.0000              0.0220             14.1159
              0.0022              0.4125              0.0000              0.0220             11.3981
              0.0022              0.4250              0.0000              0.0220              9.4982
              0.0022              0.4375              0.0000              0.0220              8.2654
              0.0022              0.4500              0.0000              0.0220              7.5615
              0.0022              0.4625              0.0000              0.0220              7.2628
              0.0022              0.4750              0.0000              0.0220              7.2624
              0.0022              0.4875              0.0000              0.0220              7.4714
              0.0022              0.5000              0.0000              0.0220              7.8222
              0.0022              0.5125              0.0000              0.0220              8.2667
              0.0022              0.5250              0.0000              0.0220              8.7794
              0.0022              0.5375              0.0000              0.0220              9.3574
              0.0022              0.5500              0.0000              0.0220             10.0184
              0.0022              0.5625              0.0000              0.0220             10.8035
              0.0022              0.5750              0.0000              0.0220             11.7743
              0.0022              0.5875              0.0000              0.0220             13.0121
              0.0022              0.6000              0.0000              0.0220             14.6168
              0.0022              0.6125              0.0000              0.0220             16.7046
