#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0020              0.3250              0.0000              0.0220             46.4582
              0.0020              0.3375              0.0000              0.0220             36.9696
              0.0020              0.3500              0.0000              0.0220             29.1957
              0.0020              0.3625              0.0000              0.0220             22.9560
              0.0020              0.3750              0.0000              0.0220             18.0693
              0.0020              0.3875              0.0000              0.0220             14.3567
              0.0020              0.4000              0.0000              0.0220             11.6437
              0.0020              0.4125              0.0000              0.0220              9.7636
              0.0020              0.4250              0.0000              0.0220              8.5594
              0.0020              0.4375              0.0000              0.0220              7.8867
              0.0020              0.4500              0.0000              0.0220              7.6159
              0.0020              0.4625              0.0000              0.0220              7.6343
              0.0020              0.4750              0.0000              0.0220              7.8482
              0.0020              0.4875              0.0000              0.0220              8.1844
              0.0020              0.5000              0.0000              0.0220              8.5917
              0.0020              0.5125              0.0000              0.0220              9.0412
              0.0020              0.5250              0.0000              0.0220              9.5275
              0.0020              0.5375              0.0000              0.0220             10.0683
              0.0020              0.5500              0.0000              0.0220             10.7039
              0.0020              0.5625              0.0000              0.0220             11.4970
              0.0020              0.5750              0.0000              0.0220             12.5310
              0.0020              0.5875              0.0000              0.0220             13.9087
              0.0020              0.6000              0.0000              0.0220             15.7502
              0.0020              0.6125              0.0000              0.0220             18.1914
              0.0020              0.6250              0.0000              0.0220             21.3810
              0.0020              0.6375              0.0000              0.0220             25.4781
              0.0020              0.6500              0.0000              0.0220             30.6502
              0.0020              0.6625              0.0000              0.0220             37.0699
              0.0020              0.6750              0.0000              0.0220             44.9128
              0.0020              0.6875              0.0000              0.0220             54.3546
              0.0020              0.7000              0.0000              0.0220             65.5690
              0.0020              0.7125              0.0000              0.0220             78.7253
              0.0020              0.7250              0.0000              0.0220             93.9861
              0.0021              0.3000              0.0000              0.0220             69.5507
              0.0021              0.3125              0.0000              0.0220             56.0439
              0.0021              0.3250              0.0000              0.0220             44.6078
              0.0021              0.3375              0.0000              0.0220             35.0673
              0.0021              0.3500              0.0000              0.0220             27.2442
              0.0021              0.3625              0.0000              0.0220             20.9576
              0.0021              0.3750              0.0000              0.0220             16.0260
              0.0021              0.3875              0.0000              0.0220             12.2702
              0.0021              0.4000              0.0000              0.0220              9.5154
              0.0021              0.4125              0.0000              0.0220              7.5947
              0.0021              0.4250              0.0000              0.0220              6.3507
              0.0021              0.4375              0.0000              0.0220              5.6387
              0.0021              0.4500              0.0000              0.0220              5.3288
              0.0021              0.4625              0.0000              0.0220              5.3082
              0.0021              0.4750              0.0000              0.0220              5.4830
              0.0021              0.4875              0.0000              0.0220              5.7799
              0.0021              0.5000              0.0000              0.0220              6.1477
              0.0021              0.5125              0.0000              0.0220              6.5576
              0.0021              0.5250              0.0000              0.0220              7.0043
              0.0021              0.5375              0.0000              0.0220              7.5056
              0.0021              0.5500              0.0000              0.0220              8.1024
              0.0021              0.5625              0.0000              0.0220              8.8576
              0.0021              0.5750              0.0000              0.0220              9.8550
              0.0021              0.5875              0.0000              0.0220             11.1980
              0.0021              0.6000              0.0000              0.0220             13.0072
              0.0021              0.6125              0.0000              0.0220             15.4190
              0.0021              0.6250              0.0000              0.0220             18.5826
              0.0021              0.6375              0.0000              0.0220             22.6581
              0.0021              0.6500              0.0000              0.0220             27.8132
              0.0021              0.6625              0.0000              0.0220             34.2214
              0.0021              0.6750              0.0000              0.0220             42.0583
              0.0021              0.6875              0.0000              0.0220             51.5006
              0.0021              0.7000              0.0000              0.0220             62.7222
              0.0021              0.7125              0.0000              0.0220             75.8928
              0.0021              0.7250              0.0000              0.0220             91.1754
              0.0022              0.3000              0.0000              0.0220             69.6270
              0.0022              0.3125              0.0000              0.0220             56.1139
              0.0022              0.3250              0.0000              0.0220             44.6716
              0.0022              0.3375              0.0000              0.0220             35.1246
              0.0022              0.3500              0.0000              0.0220             27.2946
              0.0022              0.3625              0.0000              0.0220             21.0005
              0.0022              0.3750              0.0000              0.0220             16.0608
              0.0022              0.3875              0.0000              0.0220             12.2954
              0.0022              0.4000              0.0000              0.0220              9.5300
              0.0022              0.4125              0.0000              0.0220              7.5971
              0.0022              0.4250              0.0000              0.0220              6.3391
              0.0022              0.4375              0.0000              0.0220              5.6112
              0.0022              0.4500              0.0000              0.0220              5.2831
              0.0022              0.4625              0.0000              0.0220              5.2420
              0.0022              0.4750              0.0000              0.0220              5.3938
              0.0022              0.4875              0.0000              0.0220              5.6652
              0.0022              0.5000              0.0000              0.0220              6.0050
              0.0022              0.5125              0.0000              0.0220              6.3844
              0.0022              0.5250              0.0000              0.0220              6.7982
              0.0022              0.5375              0.0000              0.0220              7.2645
              0.0022              0.5500              0.0000              0.0220              7.8243
              0.0022              0.5625              0.0000              0.0220              8.5408
              0.0022              0.5750              0.0000              0.0220              9.4982
              0.0022              0.5875              0.0000              0.0220             10.8002
              0.0022              0.6000              0.0000              0.0220             12.5680
              0.0022              0.6125              0.0000              0.0220             14.9383
